brand,price,os_name,Processor,RAM Size GB,Storage Size GB,battery_capacity,Dual_Sim,Screen_Size,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,fast_charging_power,4G,5G,Vo5G,NFC,IR_Blaster,Core_Count,Clock_Speed_GHz,Resolution_Width,Resolution_Height,Notch_Type,os_version,rating,b_r,Processor_Category,price_Category,RAM Size GB_Category,Storage Size GB_Category,battery_capacity_Category,fast_charging_power_Category,os_version_Category,Screen_Size_Category,primary_rear_camera_mp_Category,primary_front_camera_mp_Category,Clock_Speed_GHz_Category,Resolution_Width_Category,Resolution_Height_Category,rating_Category
Realme,18999,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.72,120.0,108.0,2.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,13.0,82.0,Realme,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OPPO,18999,Android,Dimensity_700,8.0,128.0,5000.0,Yes,6.56,90.0,50.0,2.0,8.0,1.0,Yes,33,Yes,Yes,No,Yes,No,8.0,2.2,720.0,1612.0,Water Drop Notch,12.0,79.0,OPPO,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Xiaomi,24762,Android,Dimensity_1080,6.0,128.0,5000.0,Yes,6.67,120.0,50.0,3.0,16.0,1.0,Yes,67,Yes,Yes,No,No,Yes,8.0,2.6,1080.0,2400.0,Punch Hole,12.0,79.0,Xiaomi,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,16990,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.58,120.0,50.0,3.0,16.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,12.0,80.0,Vivo,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,114990,Android,Snapdragon_8 Gen2,8.0,256.0,5000.0,Yes,6.8,120.0,200.0,1.0,12.0,1.0,No,45,Yes,Yes,Yes,Yes,No,8.0,3.2,1440.0,3088.0,Punch Hole,13.0,80.0,Samsung,snapdragon,Luxury,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Apple,62999,iOS,Bionic_15,4.0,128.0,3240.0,Yes,6.1,60.0,12.0,2.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1170.0,2532.0,Small Notch,15.0,79.0,Apple,bionic,Flagship,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Vivo,9999,Android,Helio_35,3.0,32.0,5000.0,Yes,6.51,60.0,13.0,2.0,5.0,1.0,Yes,10,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,12.0,65.0,Vivo,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
OPPO,45999,Android,Snapdragon_8,16.0,256.0,4700.0,Yes,6.7,120.0,50.0,3.0,32.0,1.0,Yes,80,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2412.0,Punch Hole,12.0,86.0,OPPO,snapdragon,Premium,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,32999,Android,Dimensity_8100,8.0,128.0,5000.0,Yes,6.7,120.0,50.0,3.0,16.0,1.0,Yes,80,Yes,Yes,No,Yes,No,8.0,2.85,1080.0,2412.0,Punch Hole,12.0,86.0,Other,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,14499,Android,Helio_70,4.0,64.0,5000.0,Yes,6.55,60.0,50.0,2.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,2.4,720.0,1612.0,Water Drop Notch,12.0,72.0,Vivo,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
OnePlus,39999,Android,Snapdragon_8,8.0,128.0,5000.0,Yes,6.7,120.0,50.0,3.0,16.0,1.0,Yes,100,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2412.0,Punch Hole,12.0,85.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,8-16 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,35999,Android,Dimensity_1300,8.0,128.0,4830.0,Yes,6.56,120.0,64.0,3.0,32.0,1.0,Yes,66,Yes,Yes,No,No,No,8.0,2.4,1080.0,2376.0,Punch Hole,12.0,85.0,Vivo,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
POCO,14999,Android,Snapdragon_695,6.0,64.0,5000.0,Yes,6.67,120.0,64.0,3.0,16.0,1.0,Yes,67,Yes,Yes,No,No,Yes,8.0,2.2,1080.0,2400.0,Punch Hole,11.0,80.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,17859,Android,Snapdragon_4,4.0,128.0,5000.0,Yes,6.67,120.0,48.0,3.0,13.0,1.0,Yes,33,Yes,Yes,No,No,Yes,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,76.0,Xiaomi,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,42990,Android,Dimensity_9000,12.0,256.0,4800.0,Yes,6.7,120.0,64.0,3.0,32.0,1.0,Yes,100,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2400.0,Punch Hole,12.0,87.0,Vivo,dimensity,Premium,8-18 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,16-40 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,31239,Android,Snapdragon_865,8.0,128.0,4500.0,Yes,6.5,120.0,12.0,3.0,32.0,1.0,Yes,0,Yes,Yes,No,Yes,No,8.0,2.84,1080.0,2400.0,Punch Hole,10.0,88.0,Samsung,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,21995,Android,Snapdragon_695,8.0,128.0,5000.0,Yes,6.59,120.0,64.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2412.0,Punch Hole,12.0,84.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Apple,129990,iOS,Bionic_16,6.0,128.0,4323.0,Yes,6.7,120.0,48.0,3.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,2.4,1290.0,2796.0,No Notch,16.0,76.0,Apple,bionic,Luxury,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Vivo,27999,Android,Dimensity_900,8.0,128.0,4500.0,Yes,6.44,90.0,64.0,3.0,50.0,1.0,Yes,44,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,83.0,Vivo,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,40-60 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,69999,Android,Snapdragon_8 Gen2,8.0,128.0,4500.0,Yes,6.7,120.0,50.0,3.0,16.0,1.0,Yes,100,Yes,Yes,No,Yes,No,8.0,3.2,1440.0,3216.0,Punch Hole,12.0,80.0,Other,snapdragon,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Realme,19999,Android,Snapdragon_695,8.0,128.0,5000.0,Yes,6.72,120.0,108.0,2.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,13.0,84.0,Realme,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
POCO,20999,Android,Snapdragon_778,6.0,128.0,5000.0,Yes,6.67,120.0,108.0,3.0,16.0,1.0,No,67,Yes,Yes,No,Yes,Yes,8.0,2.4,1080.0,2400.0,Punch Hole,13.0,81.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,27990,Android,Dimensity_930,8.0,256.0,4700.0,Yes,6.56,120.0,64.0,3.0,50.0,1.0,Yes,67,Yes,Yes,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,13.0,83.0,Vivo,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,40-60 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Apple,38999,iOS,Bionic_13,4.0,64.0,3110.0,Yes,6.1,60.0,12.0,2.0,12.0,1.0,No,0,Yes,No,No,Yes,No,6.0,2.65,828.0,1792.0,Large Notch,13.0,73.0,Apple,bionic,Premium,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Samsung,23790,Android,Dimensity_900,6.0,128.0,5000.0,Yes,6.7,120.0,108.0,1.0,32.0,1.0,Yes,25,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,85.0,Samsung,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,39999,Android,Exynos_2100,8.0,128.0,4500.0,Yes,6.4,120.0,12.0,3.0,32.0,1.0,No,25,Yes,Yes,No,Yes,No,8.0,2.9,1080.0,2340.0,Punch Hole,11.0,87.0,Samsung,exynos,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OPPO,29990,Android,Snapdragon_695,8.0,256.0,5000.0,Yes,6.67,120.0,108.0,3.0,16.0,1.0,Yes,66,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2400.0,Punch Hole,13.0,87.0,OPPO,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,91999,Android,Snapdragon_8 Gen1,12.0,256.0,5000.0,Yes,6.8,120.0,108.0,1.0,40.0,1.0,Yes,45,Yes,Yes,No,Yes,No,8.0,2.4,1440.0,3080.0,Punch Hole,12.0,80.0,Samsung,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Xiaomi,32999,Android,Snapdragon_7 Gen1,6.0,128.0,5200.0,Yes,6.67,120.0,108.0,1.0,32.0,1.0,Yes,210,Yes,Yes,No,No,Yes,8.0,2.36,1080.0,2460.0,Punch Hole,12.0,83.0,Xiaomi,snapdragon,Premium,4-8 GB,32-256 GB,5000-10000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OPPO,28499,Android,Snapdragon_778,8.0,256.0,4500.0,Yes,6.7,120.0,64.0,2.0,32.0,1.0,Yes,67,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2412.0,Punch Hole,12.0,83.0,OPPO,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,21999,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.7,120.0,108.0,3.0,16.0,1.0,Yes,67,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2412.0,Punch Hole,12.0,83.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Xiaomi,19999,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.67,120.0,108.0,3.0,16.0,1.0,Yes,67,Yes,Yes,No,No,Yes,8.0,2.2,1080.0,2400.0,Punch Hole,11.0,83.0,Xiaomi,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Motorola Edge,18999,Android,Dimensity_800,6.0,128.0,5000.0,Yes,6.67,90.0,108.0,3.0,32.0,1.0,Yes,30,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,87.0,Other,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,27999,Android,Dimensity_1080,8.0,256.0,5000.0,Yes,6.7,120.0,108.0,3.0,16.0,1.0,No,67,Yes,Yes,No,No,No,8.0,2.6,1080.0,2412.0,Punch Hole,13.0,85.0,Realme,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,18499,Android,Snapdragon_680,8.0,128.0,5000.0,Yes,6.58,90.0,50.0,3.0,16.0,1.0,Yes,44,Yes,No,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,80.0,Vivo,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,17478,Android,Exynos_1280,6.0,128.0,6000.0,Yes,6.6,120.0,50.0,1.0,8.0,1.0,Yes,25,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2400.0,Water Drop Notch,12.0,81.0,Samsung,exynos,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Xiaomi,11936,Android,Snapdragon_680,4.0,64.0,5000.0,Yes,6.43,90.0,50.0,1.0,13.0,1.0,Yes,33,Yes,No,No,No,Yes,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,76.0,Xiaomi,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,8950,Android,Unisoc_612,3.0,32.0,5000.0,Yes,6.5,60.0,50.0,2.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,1.8,720.0,1600.0,Water Drop Notch,12.0,64.0,Realme,unisoc,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Vivo,12489,Android,Helio_35,4.0,64.0,5000.0,Yes,6.51,60.0,13.0,2.0,5.0,1.0,Yes,10,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,12.0,68.0,Vivo,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Samsung,42999,Android,Snapdragon_7 Gen1,8.0,128.0,5000.0,Yes,6.7,120.0,108.0,1.0,32.0,1.0,Yes,33,Yes,Yes,No,Yes,No,8.0,2.36,1080.0,2412.0,Punch Hole,12.0,80.0,Samsung,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,18999,Android,Exynos_1330,6.0,128.0,5000.0,Yes,6.6,90.0,50.0,3.0,13.0,1.0,Yes,15,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,13.0,79.0,Samsung,exynos,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
iQOO,29999,Android,Dimensity_8200,8.0,128.0,5000.0,Yes,6.78,120.0,64.0,3.0,16.0,1.0,Yes,120,Yes,Yes,No,Yes,Yes,8.0,3.1,1080.0,2400.0,Punch Hole,12.0,82.0,Other,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,8-16 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Jio,11990,Android,Snapdragon_480,4.0,32.0,5000.0,Yes,6.5,90.0,13.0,1.0,8.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.2,720.0,1600.0,No Notch,12.0,64.0,Other,snapdragon,Mid-Range,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Motorola,18999,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.6,120.0,50.0,3.0,16.0,1.0,Yes,30,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,83.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,13999,Android,Helio_99,4.0,64.0,5000.0,Yes,6.4,90.0,50.0,2.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,74.0,Realme,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,14965,Android,Dimensity_810,4.0,64.0,5000.0,Yes,6.6,90.0,50.0,3.0,8.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Punch Hole,12.0,75.0,Realme,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Apple,74999,iOS,Bionic_15,6.0,128.0,4325.0,Yes,6.7,60.0,12.0,2.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1284.0,2778.0,Small Notch,16.0,82.0,Apple,bionic,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Xiaomi,10999,Android,Helio_95,6.0,64.0,5000.0,Yes,6.43,60.0,64.0,1.0,13.0,1.0,Yes,33,Yes,No,No,No,Yes,8.0,2.05,1080.0,2400.0,Punch Hole,11.0,78.0,Xiaomi,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,84990,Android,Snapdragon_8 Gen2,8.0,256.0,4700.0,Yes,6.6,120.0,50.0,3.0,12.0,1.0,Yes,45,Yes,Yes,Yes,Yes,No,8.0,3.2,1080.0,2340.0,Punch Hole,12.0,89.0,Samsung,snapdragon,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Motorola,10499,Android,Snapdragon_680,4.0,64.0,5000.0,Yes,6.55,90.0,50.0,3.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,75.0,Other,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
